trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
200,False,"{'a': 0.5, 'e': 0.8253356149096781}",20,2,-83.5916562410439,"{0: 8, 1: 7, 2: 2, 3: 0, 4: 1}",1
201,False,"{'a': 0.5, 'e': 0.8236379760229013}",25,1,-98.91138497914989,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 2}",1
202,False,"{'a': 0.5, 'e': 0.8219329243999}",30,17,0.0070582581179696735,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
203,False,"{'a': 0.5, 'e': 0.8202204753861271}",20,8,-10.794684184174166,"{0: 8, 1: 3, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.5, 'e': 0.8185006443936121}",30,12,-15.195079528262914,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
205,False,"{'a': 0.5, 'e': 0.8167734469008227}",20,0,-129.21247227708002,"{0: 8, 1: 8, 2: 1, 3: 1, 4: 2}",0
206,False,"{'a': 0.5, 'e': 0.8150388984525242}",25,0,-205.22266764188785,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
207,False,"{'a': 0.5, 'e': 0.8132970146596411}",20,2,-54.004470813028156,"{0: 8, 1: 6, 2: 4, 3: 0, 4: 0}",1
208,False,"{'a': 0.5, 'e': 0.8115478111991159}",25,14,-6.267602343134468,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.5, 'e': 0.8097913038137678}",25,11,-45.063584019193684,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
210,False,"{'a': 0.5, 'e': 0.8080275083121516}",35,8,-57.88353178368337,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 1}",1
211,False,"{'a': 0.5, 'e': 0.8062564405684147}",20,14,5.903417223806403,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.5, 'e': 0.804478116522155}",20,1,2.8389537667639617,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
213,False,"{'a': 0.5, 'e': 0.8026925521782766}",25,8,-25.587893159627367,"{0: 10, 1: 6, 2: 1, 3: 0, 4: 0}",1
214,False,"{'a': 0.5, 'e': 0.8008997636068469}",30,7,-41.774828000007574,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 0}",1
215,False,"{'a': 0.5, 'e': 0.7990997669429508}",20,11,-20.590739416401252,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.7972925783865462}",20,7,18.549903135077574,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.7954782142023178}",20,11,2.6621274418069643,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.793656690719531}",25,7,-20.07731917195425,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.791828024331885}",25,14,6.928276757779628,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.7899922314973647}",25,10,-58.281437841739105,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 1}",1
221,False,"{'a': 0.5, 'e': 0.7881493287380935}",25,7,-35.76324729446057,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 1}",1
222,False,"{'a': 0.5, 'e': 0.7862993326401837}",20,3,-7.023186015083733,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
223,False,"{'a': 0.5, 'e': 0.7844422598535876}",20,6,-77.60097439120214,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 2}",1
224,False,"{'a': 0.5, 'e': 0.7825781270919479}",20,1,3.1918751669768946,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.7807069511324466}",20,0,-103.87673387016652,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
226,False,"{'a': 0.5, 'e': 0.7788287488156549}",35,17,10.323550779663071,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.776943537045381}",20,10,6.525623596466831,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.7750513327885181}",30,13,-58.39521253204352,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 1}",1
229,False,"{'a': 0.5, 'e': 0.7731521530748916}",25,7,-17.611736894265466,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.7712460149971063}",20,2,-65.30685114528897,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 1}",1
231,False,"{'a': 0.5, 'e': 0.7693329357103919}",25,0,-54.57345318381751,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",1
